"OrganismCode","IEPFishCode","CommonName","NonNative","Phylum","Class","Order","Family","Genus","Species","Active"
"W","WARMOT","warmouth","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis","gulosus","1"
"WAG","WAKASA","wakasagi","yes","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Hypomesus","nipponensis","1"
"WBS","WHISME","whitebait smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Allosmerus","elongatus","1"
"WCK","WHICRO","white croaker","no","Chordata","Actinopterygii","Perciformes","Sciaenidae","Genyonemus","lineatus","1"
"WEE","WOLEEL","wolf-eel","no","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","0"
"WHB","WHIBAS","white bass","no","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","chrysops","0"
"WHC","WHICAT","white catfish","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","catus","1"
"WHS","WHICRA","white crappie","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Pomoxis","annularis","1"
"WSP","WALSUR","walleye surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","1"
"WST","WHISTU","white sturgeon","no","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","transmontanus","1"
"WTSP","WHISEA","white seaperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","1"
"YEB","YELBUL","yellow bullhead","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","natalis","1"
"YEP","YELPER","yellow perch","yes","Chordata","Actinopterygii","Perciformes","Percidae","Perca","flavescens","0"
"YFG","YELGOB","yellowfin goby","yes","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius","flavimanus","1"
